customer_id,age,gender,loyalty_member,join_date
C000001,40,Male,1,45798
C000002,47,Male,0,44556
C000003,58,Female,1,44817
C000004,25,Female,0,45715
C000005,43,Male,0,45169
C000006,32,Male,0,44703
C000007,51,Male,1,45501
C000008,56,Female,0,45516
C000009,18,Male,0,45831
C000010,40,Male,0,45084
C000011,44,Male,0,46013
C000012,53,Male,1,45315
C000013,68,Male,1,44643
C000014,32,Female,1,45520
C000015,61,Female,1,46071
C000016,30,Female,0,45919
C000017,29,Male,0,44319
C000018,67,Male,1,45197
C000019,69,Male,1,44832
C000020,32,Female,1,44692
C000021,29,Female,1,44461
C000022,66,Male,0,45836
C000023,49,Female,0,45923
C000024,32,Male,1,44571
C000025,33,Male,0,45880
C000026,31,Female,0,45561
C000027,29,Male,0,45533
C000028,68,Female,0,45695
C000029,54,Female,0,45069
C000030,54,Female,0,45819
C000031,65,Female,0,45429
C000032,28,Male,1,45951
C000033,47,Female,1,44670
C000034,23,Female,1,45456
C000035,67,Male,0,44441
C000036,58,Male,1,44683
C000037,56,Female,1,45335
C000038,28,Female,1,45057
C000039,27,Female,1,45132
C000040,23,Female,1,45581
C000041,66,Male,0,44899
C000042,27,Female,0,45789
C000043,39,Female,1,45511
C000044,41,Male,1,45265
C000045,30,Female,0,45295
C000046,69,Male,0,44322
C000047,31,Male,1,45850
C000048,23,Male,0,44948
C000049,49,Female,1,45904
C000050,28,Male,0,45696
C000051,27,Male,1,45083
C000052,29,Female,0,44473
C000053,39,Female,0,45286
C000054,45,Female,0,45580
C000055,70,Female,0,44745
C000056,58,Female,1,45159
C000057,30,Male,1,45411
C000058,66,Male,0,45144
C000059,67,Male,1,45588
C000060,43,Male,1,45882
C000061,46,Male,1,45847
C000062,40,Female,1,44350
C000063,53,Female,0,45834
C000064,54,Female,0,45677
C000065,54,Male,1,44925
C000066,34,Female,0,44601
C000067,66,Male,1,45414
C000068,59,Female,0,44437
C000069,59,Female,1,45402
C000070,58,Female,0,44608
C000071,48,Female,0,44875
C000072,38,Female,1,45183
C000073,48,Female,0,44874
C000074,26,Female,1,45152
C000075,60,Female,1,45249
C000076,28,Male,1,45149
C000077,36,Male,1,44957
C000078,69,Female,1,45269
C000079,21,Female,0,45568
C000080,38,Male,1,44590
C000081,21,Male,0,45376
C000082,49,Male,0,45398
C000083,38,Female,1,45462
C000084,66,Female,1,44394
C000085,64,Female,0,45199
C000086,47,Female,1,44271
C000087,47,Male,1,44715
C000088,38,Female,1,44673
C000089,58,Female,1,45832
C000090,44,Male,0,44760
C000091,35,Male,0,45399
C000092,21,Male,1,45539
C000093,39,Female,1,44615
C000094,18,Male,1,46037
C000095,35,Male,0,45271
C000096,42,Female,1,45687
C000097,65,Male,0,45447
C000098,27,Female,1,44730
C000099,62,Male,1,44394
C000100,67,Female,1,45879
C000101,36,Male,1,45245
C000102,27,Female,0,45493
C000103,23,Female,0,44785
C000104,42,Female,1,46005
C000105,67,Female,0,44690
C000106,60,Male,1,45380
C000107,60,Female,1,45240
C000108,62,Female,1,45102
C000109,34,Female,0,44765
C000110,43,Male,1,46000
C000111,27,Female,0,45492
C000112,58,Female,0,44851
C000113,69,Female,1,45288
C000114,65,Female,0,45824
C000115,21,Female,1,45924
C000116,22,Male,0,45081
C000117,36,Female,0,45507
C000118,57,Female,1,45226
C000119,52,Female,0,45172
C000120,41,Female,0,45507
C000121,38,Male,1,44824
C000122,47,Male,1,45269
C000123,57,Female,1,44828
C000124,23,Male,0,45206
C000125,45,Male,1,45758
C000126,65,Male,1,45231
C000127,56,Male,1,45797
C000128,35,Male,0,44875
C000129,20,Female,1,44720
C000130,58,Male,1,44577
C000131,39,Female,1,45413
C000132,33,Female,0,44641
C000133,52,Female,0,44306
C000134,41,Male,1,44901
C000135,57,Male,1,45786
C000136,63,Male,0,45568
C000137,23,Female,1,45500
C000138,70,Male,0,44649
C000139,28,Female,0,44623
C000140,39,Male,0,45489
C000141,21,Male,1,44410
C000142,28,Male,1,45459
C000143,63,Female,0,44410
C000144,28,Male,1,44708
C000145,70,Male,1,44878
C000146,62,Male,0,45559
C000147,28,Female,0,45138
C000148,58,Female,0,45619
C000149,48,Male,0,45667
C000150,48,Male,1,45679
C000151,21,Female,0,44943
C000152,22,Female,1,45366
C000153,20,Female,1,45369
C000154,25,Female,0,45697
C000155,55,Female,1,45693
C000156,51,Male,1,45149
C000157,54,Female,1,44890
C000158,33,Male,1,45843
C000159,37,Male,1,45086
C000160,22,Female,1,45463
C000161,41,Male,0,44923
C000162,58,Female,0,45958
C000163,46,Female,0,45768
C000164,57,Female,0,44294
C000165,60,Female,0,45751
C000166,26,Male,1,44827
C000167,24,Male,1,45174
C000168,44,Male,0,44597
C000169,18,Female,0,44911
C000170,19,Male,1,45867
C000171,60,Male,1,44577
C000172,62,Male,1,45002
C000173,64,Male,1,45448
C000174,36,Male,1,45196
C000175,29,Female,0,45798
C000176,62,Male,0,44537
C000177,67,Female,1,45103
C000178,63,Male,0,45010
C000179,26,Male,1,45700
C000180,52,Male,0,45353
C000181,62,Male,1,45501
C000182,54,Female,1,44631
C000183,47,Female,0,44324
C000184,33,Female,0,45922
C000185,61,Male,0,45553
C000186,24,Male,0,45846
C000187,64,Female,1,44948
C000188,29,Male,0,45580
C000189,63,Female,1,44667
C000190,52,Male,0,45373
C000191,37,Male,1,44541
C000192,37,Female,1,46055
C000193,63,Male,1,44538
C000194,20,Male,0,44606
C000195,49,Male,1,44557
C000196,66,Female,1,45758
C000197,61,Female,0,45421
C000198,65,Male,1,44951
C000199,39,Male,0,44277
C000200,39,Male,1,44540
C000201,65,Male,1,45254
C000202,47,Female,1,45538
C000203,37,Female,1,45742
C000204,18,Male,0,45938
C000205,48,Male,0,45497
C000206,69,Female,1,44342
C000207,36,Male,0,44988
C000208,44,Male,0,45996
C000209,46,Male,0,44390
C000210,41,Female,1,44730
C000211,34,Male,1,44524
C000212,70,Female,0,44513
C000213,49,Male,1,44564
C000214,51,Male,1,45100
C000215,31,Female,1,44891
C000216,49,Male,0,45862
C000217,53,Male,0,45163
C000218,22,Male,0,44829
C000219,43,Male,0,45510
C000220,58,Male,1,45016
C000221,19,Male,1,44767
C000222,47,Female,1,45619
C000223,54,Male,1,45521
C000224,47,Female,1,44359
C000225,47,Female,1,44488
C000226,35,Male,0,44943
C000227,23,Female,0,44923
C000228,49,Female,0,45426
C000229,24,Male,1,45479
C000230,25,Female,0,44271
C000231,43,Female,0,44682
C000232,62,Male,1,45365
C000233,54,Female,1,45017
C000234,25,Female,0,44860
C000235,63,Male,0,45096
C000236,52,Female,0,44391
C000237,59,Male,0,45554
C000238,25,Female,1,44370
C000239,18,Male,0,45392
C000240,20,Male,1,45422
C000241,39,Female,1,45891
C000242,25,Male,0,45873
C000243,62,Male,1,44896
C000244,42,Male,1,45026
C000245,38,Female,1,44519
C000246,29,Male,0,45168
C000247,54,Female,1,45810
C000248,38,Female,1,45095
C000249,48,Female,0,45354
C000250,60,Female,0,44903
C000251,70,Female,0,45004
C000252,65,Male,1,44431
C000253,52,Female,1,45130
C000254,29,Female,0,45907
C000255,27,Female,1,44524
C000256,48,Female,1,45253
C000257,31,Female,0,44893
C000258,45,Male,1,45699
C000259,52,Male,1,46069
C000260,64,Male,0,45400
C000261,22,Female,0,46059
C000262,44,Male,0,45531
C000263,26,Male,0,44818
C000264,63,Male,0,45815
C000265,54,Female,1,44752
C000266,27,Male,1,45707
C000267,49,Male,1,45617
C000268,25,Male,1,45239
C000269,44,Male,1,45999
C000270,19,Female,0,44734
C000271,43,Male,0,45738
C000272,62,Female,0,45924
C000273,55,Male,1,45514
C000274,20,Female,1,45814
C000275,43,Male,0,45829
C000276,25,Male,0,45106
C000277,57,Female,0,45172
C000278,34,Male,0,44965
C000279,63,Female,0,45994
C000280,36,Female,1,45317
C000281,60,Female,1,45600
C000282,41,Female,0,45535
C000283,61,Female,0,44801
C000284,29,Male,1,45665
C000285,42,Female,1,44583
C000286,51,Male,1,46079
C000287,48,Female,1,46040
C000288,45,Female,1,44370
C000289,68,Female,1,45338
C000290,65,Male,0,45166
C000291,47,Male,0,45231
C000292,55,Female,1,45115
C000293,57,Female,1,45890
C000294,38,Male,0,44705
C000295,44,Female,0,44567
C000296,65,Male,1,46013
C000297,66,Female,1,44411
C000298,38,Female,0,44866
C000299,68,Male,0,45856
C000300,24,Female,1,45484
C000301,33,Female,1,44476
C000302,55,Male,1,45370
C000303,58,Male,1,44587
C000304,29,Female,1,44292
C000305,43,Female,1,45635
C000306,27,Male,1,44305
C000307,70,Female,0,45533
C000308,22,Female,1,46035
C000309,35,Male,1,45150
C000310,66,Male,1,44845
C000311,21,Male,0,44523
